latitude,longitude,timestamp,track,velocity,index
54.4212028,12.232052,2025-11-15 16:46:45.000000 +0000 UTC,207.4,17.99,32
54.4090218,12.2188343,2025-11-15 16:50:56.000000 +0000 UTC,212.3,12.39,33
54.3977972,12.2062364,2025-11-15 16:54:11.000000 +0000 UTC,212.3,12.39,34
54.3857296,12.1940999,2025-11-15 16:58:45.000000 +0000 UTC,212.3,12.39,35
54.3798535,12.1851333,2025-11-15 17:02:52.000000 +0000 UTC,217.2,7.71,36
54.3774076,12.1800475,2025-11-15 17:07:05.000000 +0000 UTC,236.3,3.24,37
54.3752407,12.1745679,2025-11-15 17:10:46.000000 +0000 UTC,236.3,3.24,38
54.373175,12.1695283,2025-11-15 17:14:26.000000 +0000 UTC,236.3,3.24,39
54.3716042,12.1640942,2025-11-15 17:18:53.000000 +0000 UTC,236.3,3.24,40
54.3689363,12.1594775,2025-11-15 17:22:56.000000 +0000 UTC,236.3,3.24,41
54.36706,12.1543298,2025-11-15 17:26:36.000000 +0000 UTC,236.3,3.24,42
54.3651119,12.1488987,2025-11-15 17:30:39.000000 +0000 UTC,236.3,3.24,43
54.3635107,12.1441965,2025-11-15 17:34:41.000000 +0000 UTC,236.3,3.24,44
54.3609589,12.1389283,2025-11-15 17:39:06.000000 +0000 UTC,236.3,3.24,45
54.3595002,12.1337628,2025-11-15 17:42:50.000000 +0000 UTC,236.3,3.24,46
54.3573604,12.1281052,2025-11-15 17:47:03.000000 +0000 UTC,236.3,3.24,47
54.355392,12.1236668,2025-11-15 17:50:34.000000 +0000 UTC,236.3,3.24,48
54.3535218,12.1181493,2025-11-15 17:54:18.000000 +0000 UTC,236.3,3.24,49
54.3513626,12.1127536,2025-11-15 17:58:46.000000 +0000 UTC,236.3,3.24,50
54.3496195,12.1081106,2025-11-15 18:02:31.000000 +0000 UTC,236.3,3.24,51
54.3473686,12.1030922,2025-11-15 18:07:02.000000 +0000 UTC,236.3,3.24,52
54.3454347,12.0978328,2025-11-15 18:10:50.000000 +0000 UTC,236.3,3.24,53
54.3434735,12.0927367,2025-11-15 18:14:32.000000 +0000 UTC,236.3,3.24,54
54.3415555,12.0873437,2025-11-15 18:18:18.000000 +0000 UTC,236.3,3.24,55
54.3394704,12.0824288,2025-11-15 18:22:57.000000 +0000 UTC,236.3,3.24,56
54.3379434,12.0768572,2025-11-15 18:27:02.000000 +0000 UTC,236.3,3.24,57
54.3369302,12.0721942,2025-11-15 18:31:07.000000 +0000 UTC,264.3,2.71,58
54.3364145,12.0667883,2025-11-15 18:34:39.000000 +0000 UTC,264.3,2.71,59
54.3362356,12.0619984,2025-11-15 18:38:56.000000 +0000 UTC,264.3,2.71,60
54.3358788,12.0564853,2025-11-15 18:42:22.000000 +0000 UTC,264.3,2.71,61
54.335534,12.0517359,2025-11-15 18:46:32.000000 +0000 UTC,264.3,2.71,62
54.335304,12.0467417,2025-11-15 18:51:00.000000 +0000 UTC,264.3,2.71,63
54.3353872,12.0408536,2025-11-15 18:54:27.000000 +0000 UTC,264.3,2.71,64
54.3353079,12.0359108,2025-11-15 18:58:11.000000 +0000 UTC,264.3,2.71,65
54.3344212,12.0310233,2025-11-15 19:02:39.000000 +0000 UTC,264.3,2.71,66
54.334781,12.0255328,2025-11-15 19:06:56.000000 +0000 UTC,264.3,2.71,67
54.3344082,12.0203141,2025-11-15 19:11:09.000000 +0000 UTC,264.3,2.71,68
54.3339273,12.0154834,2025-11-15 19:14:14.000000 +0000 UTC,264.3,2.71,69
54.3335576,12.0099974,2025-11-15 19:18:33.000000 +0000 UTC,264.3,2.71,70
54.3332672,12.004826,2025-11-15 19:22:32.000000 +0000 UTC,264.3,2.71,71
54.3326529,12.0003905,2025-11-15 19:26:52.000000 +0000 UTC,264.3,2.71,72
54.3330438,11.9954085,2025-11-15 19:30:52.000000 +0000 UTC,264.3,2.71,73
54.3318997,11.9897611,2025-11-15 19:35:01.000000 +0000 UTC,264.3,2.71,74
54.3318178,11.9847991,2025-11-15 19:38:54.000000 +0000 UTC,264.3,2.71,75
54.3316531,11.9790708,2025-11-15 19:42:21.000000 +0000 UTC,264.3,2.71,76
54.3313199,11.9746431,2025-11-15 19:46:41.000000 +0000 UTC,264.3,2.71,77
54.331576,11.9689642,2025-11-15 19:50:23.000000 +0000 UTC,264.3,2.71,78
54.3309363,11.9640885,2025-11-15 19:54:44.000000 +0000 UTC,269.2,2.91,79
54.3316078,11.9573641,2025-11-15 19:58:20.000000 +0000 UTC,273.4,3.14,80
54.3310856,11.9519339,2025-11-15 20:02:25.000000 +0000 UTC,273.4,3.14,81
54.331446,11.9457386,2025-11-15 20:06:17.000000 +0000 UTC,273.4,3.14,82
54.33206,11.9399564,2025-11-15 20:10:25.000000 +0000 UTC,273.4,3.14,83
54.3316562,11.9338272,2025-11-15 20:14:29.000000 +0000 UTC,273.4,3.14,84
54.3323787,11.9278752,2025-11-15 20:18:30.000000 +0000 UTC,273.4,3.14,85
54.3324649,11.9219061,2025-11-15 20:22:10.000000 +0000 UTC,273.4,3.14,86
54.3325255,11.9165109,2025-11-15 20:26:40.000000 +0000 UTC,273.4,3.14,87
54.332767,11.9100438,2025-11-15 20:30:41.000000 +0000 UTC,273.4,3.14,88
54.3335182,11.9040209,2025-11-15 20:34:46.000000 +0000 UTC,273.4,3.14,89
54.3333891,11.8986032,2025-11-15 20:38:11.000000 +0000 UTC,273.4,3.14,90
54.3334225,11.8918622,2025-11-15 20:42:52.000000 +0000 UTC,273.4,3.14,91
54.3336849,11.8865386,2025-11-15 20:46:12.000000 +0000 UTC,273.4,3.14,92
54.3343856,11.8807491,2025-11-15 20:51:00.000000 +0000 UTC,273.4,3.14,93
54.3344401,11.8745657,2025-11-15 20:54:32.000000 +0000 UTC,273.4,3.14,94
54.3339734,11.8680493,2025-11-15 20:58:56.000000 +0000 UTC,273.4,3.14,95
54.3346711,11.8626502,2025-11-15 21:02:24.000000 +0000 UTC,273.4,3.14,96
54.3346611,11.8565615,2025-11-15 21:07:04.000000 +0000 UTC,273.4,3.14,97
54.3350028,11.8500811,2025-11-15 21:11:01.000000 +0000 UTC,273.4,3.14,98
54.3348755,11.8440934,2025-11-15 21:14:17.000000 +0000 UTC,273.4,3.14,99
54.3380434,11.8129558,2025-11-15 21:18:39.000000 +0000 UTC,278.8,16.95,100
54.3435041,11.7548614,2025-11-15 21:22:53.000000 +0000 UTC,279.3,30.78,101
54.348819,11.6970096,2025-11-15 21:26:40.000000 +0000 UTC,279.3,30.78,102
54.3547884,11.6391608,2025-11-15 21:30:16.000000 +0000 UTC,279.3,30.77,103
54.3896756,11.5731143,2025-11-15 21:34:40.000000 +0000 UTC,312.1,46.87,104
54.4240773,11.5068558,2025-11-15 21:38:39.000000 +0000 UTC,312.2,46.84,105
54.459749,11.4400406,2025-11-15 21:42:47.000000 +0000 UTC,312.2,46.82,106
54.4896358,11.3749131,2025-11-15 21:46:16.000000 +0000 UTC,308.4,43.9,107
54.5148995,11.3096284,2025-11-15 21:50:28.000000 +0000 UTC,304.1,41.19,108
54.541324,11.2435739,2025-11-15 21:54:55.000000 +0000 UTC,304.1,41.17,109
54.5663204,11.1791493,2025-11-15 21:58:16.000000 +0000 UTC,304.2,41.16,110
54.592798,11.1160244,2025-11-15 22:02:11.000000 +0000 UTC,305.6,40.52,111
54.619071,11.0524513,2025-11-15 22:06:39.000000 +0000 UTC,305.6,40.5,112
54.6447615,10.9894971,2025-11-15 22:10:51.000000 +0000 UTC,305.7,40.49,113
54.6855091,10.956027,2025-11-15 22:14:30.000000 +0000 UTC,334.5,40.65,114
54.7412519,10.9517903,2025-11-15 22:18:50.000000 +0000 UTC,357.5,49.8,115
54.7966366,10.9470638,2025-11-15 22:23:09.000000 +0000 UTC,357.5,49.8,116
54.8510704,10.9436641,2025-11-15 22:26:39.000000 +0000 UTC,357.5,49.8,117
54.9098472,10.976577,2025-11-15 22:30:36.000000 +0000 UTC,18.3,55.58,118
54.9681927,11.0107341,2025-11-15 22:34:23.000000 +0000 UTC,18.3,55.57,119
55.0561806,11.0606148,2025-11-15 22:38:41.000000 +0000 UTC,18.2,83.34,120
